user_id,name,gender,age,city,join_date
U00001,"Galang Namaga, S.E.I",Female,46,Jakarta,2025-04-25
U00002,Nova Iswahyudi,Female,48,Bandung,2024-01-02
U00003,Rama Wasita,Male,39,Jakarta,2023-06-17
U00004,"R. Vivi Winarsih, S.T.",Female,29,Makassar,2023-10-06
U00005,"Irsad Wibowo, M.Pd",Male,35,Jakarta,2024-05-13
U00006,"Gawati Melani, S.IP",Female,46,Makassar,2024-03-23
U00007,Dimas Siregar,Male,21,Surabaya,2025-03-13
U00008,Karimah Hidayanto,Female,33,Surabaya,2023-08-07
U00009,Aurora Santoso,Female,43,Jakarta,2025-03-15
U00010,Rika Namaga,Male,36,Medan,2023-12-31
U00011,Ir. Sarah Mardhiyah,Male,21,Bandung,2023-02-06
U00012,"Tari Sitorus, M.Kom.",Female,25,Bandung,2023-01-16
U00013,Purwanto Firgantoro,Female,43,Surabaya,2022-07-19
U00014,Purwa Hardiansyah,Male,26,Bandung,2025-03-24
U00015,Hafshah Nasyiah,Female,20,Bandung,2025-04-17
U00016,"Dr. Simon Iswahyudi, S.Pt",Female,25,Bandung,2024-07-09
U00017,Alika Sihombing,Female,33,Bandung,2025-02-27
U00018,"Dt. Edison Napitupulu, S.E.I",Male,28,Makassar,2024-05-31
U00019,Titi Saragih,Male,42,Bandung,2022-09-14
U00020,"Cut Lili Adriansyah, S.IP",Female,37,Medan,2024-02-16
U00021,Fathonah Namaga,Male,40,Bandung,2023-01-30
U00022,Vega Rajasa,Male,37,Medan,2024-09-16
U00023,Daliman Winarsih,Male,50,Bandung,2023-04-22
U00024,Mursita Tampubolon,Male,46,Jakarta,2024-01-30
U00025,Genta Puspita,Male,29,Jakarta,2025-02-27
U00026,Paulin Irawan,Male,45,Jakarta,2025-04-16
U00027,"R.A. Rika Tarihoran, S.Pt",Male,34,Bandung,2024-09-23
U00028,Ira Latupono,Male,20,Makassar,2024-07-15
U00029,"Wardaya Usamah, M.Kom.",Female,39,Bandung,2022-09-07
U00030,Nyoman Saputra,Male,27,Makassar,2024-01-03
U00031,Paramita Suryono,Male,39,Jakarta,2022-11-21
U00032,"Cut Putri Widodo, S.Pd",Female,34,Surabaya,2023-06-13
U00033,"Kiandra Tamba, S.Pt",Male,30,Medan,2025-04-15
U00034,Irwan Sitorus,Male,50,Jakarta,2023-12-25
U00035,Kacung Firmansyah,Female,39,Jakarta,2024-05-23
U00036,"Gandi Najmudin, S.T.",Female,37,Bandung,2022-10-16
U00037,Yunita Farida,Male,46,Jakarta,2023-05-30
U00038,Cemani Setiawan,Male,18,Makassar,2022-08-04
U00039,"Puti Juli Rahmawati, S.Gz",Male,19,Surabaya,2022-10-21
U00040,"Drs. Galih Siregar, S.E.I",Female,49,Makassar,2024-12-18
U00041,"Febi Samosir, S.IP",Female,36,Bandung,2023-03-17
U00042,"Irma Safitri, S.Farm",Male,31,Surabaya,2024-02-18
U00043,Hj. Farah Prasetyo,Female,27,Makassar,2024-10-17
U00044,"Novi Najmudin, S.I.Kom",Male,28,Bandung,2024-11-11
U00045,Kiandra Sirait,Female,34,Makassar,2025-03-26
U00046,"R.A. Winda Sinaga, S.Ked",Female,28,Jakarta,2023-09-10
U00047,dr. Shakila Laksita,Female,38,Jakarta,2024-01-06
U00048,Lamar Maryadi,Male,42,Makassar,2023-06-27
U00049,Ir. Leo Pradana,Male,19,Bandung,2024-09-11
U00050,"Dr. Yessi Yolanda, S.Farm",Male,25,Surabaya,2024-09-02
U00051,"Cut Tari Sihotang, S.Psi",Female,53,Makassar,2023-09-04
U00052,Puput Wijayanti,Female,38,Medan,2025-04-08
U00053,"KH. Rafi Pudjiastuti, M.Kom.",Female,19,Bandung,2023-11-25
U00054,"Galar Pudjiastuti, M.Ak",Male,39,Jakarta,2023-04-23
U00055,Adhiarja Kuswandari,Male,40,Jakarta,2025-03-19
U00056,Kacung Saptono,Female,55,Makassar,2025-06-23
U00057,Winda Iswahyudi,Female,26,Surabaya,2023-03-05
U00058,Hana Nasyidah,Male,53,Makassar,2023-08-04
U00059,"R.M. Manah Laksmiwati, S.E.",Female,27,Jakarta,2024-11-25
